VEH,income_bin,household
-1,0 to 30k,549658
-1,30-60k,0
-1,60-100k,0
-1,100-150k,0
-1,150k+,0
0,0 to 30k,555025
0,30-60k,0
0,60-100k,0
0,100-150k,0
0,150k+,0
1,0 to 30k,1794507
1,30-60k,0
1,60-100k,0
1,100-150k,0
1,150k+,0
2,0 to 30k,1901629
2,30-60k,0
2,60-100k,0
2,100-150k,0
2,150k+,0
3,0 to 30k,730569
3,30-60k,0
3,60-100k,0
3,100-150k,0
3,150k+,0
4,0 to 30k,270730
4,30-60k,0
4,60-100k,0
4,100-150k,0
4,150k+,0
5,0 to 30k,78797
5,30-60k,0
5,60-100k,0
5,100-150k,0
5,150k+,0
6,0 to 30k,41076
6,30-60k,0
6,60-100k,0
6,100-150k,0
6,150k+,0
